idx,lat,lon,n,e,d,carla_lat,carla_lon
2224,63.41511002,10.41132761,-322.72219864584787,440.27633190966293,0.023308865984802196,-0.002898929611533733,0.003955069576514608
2263,63.41473478,10.41140756,-364.5489797717032,444.2757969206095,0.025835955209657868,-0.0032746487125737706,0.003990997381941985
2307,63.41436599,10.41157644,-405.65615842795296,452.71760794501046,0.02890665279758764,-0.0036439038117062053,0.0040668314605273054
2373,63.41396194,10.41175384,-450.6936200412028,461.5858096354402,0.03255998186349984,-0.004048463620875823,0.004146495871630401
2479,63.41355793,10.41165486,-495.7285954501755,456.64779282742643,0.03554228861088404,-0.004453001097118764,0.004102136911972082
2536,63.41327719,10.41102732,-527.0264947738729,425.3034076144411,0.035887000456256146,-0.004734141990149908,0.003820565509274312
2584,63.4130874,10.41025467,-548.1869384730353,386.7081228577864,0.035217983408301734,-0.004924220754765699,0.003473858167828387
2633,63.4129581,10.4094264,-562.604506736674,345.3330585366217,0.0341037451003956,-0.00505373002230647,0.0031021796417236725
2674,63.41289532,10.408553,-569.6068896392474,301.7024117771564,0.032517286868881,-0.0051166306074931864,0.002710238873857405
2710,63.41291251,10.40768294,-567.6945536199839,258.2377077166856,0.030444236390565038,-0.00509945259018695,0.0023197887946170537
2743,63.41297705,10.40682889,-560.5035550180877,215.57249166925155,0.028228615088579545,-0.005034857719208113,0.0019365206383827266
2777,63.41304945,10.4059794,-552.4358353451382,173.13521729371598,0.026235995405130552,-0.00496238749077139,0.00155530011702315
2812,63.41310038,10.40512229,-546.7607904051724,130.3175940747675,0.024731796604498868,-0.004911410037431388,0.0011706628638748803
2847,63.4130979,10.40424081,-547.0387215570261,86.28287104066138,0.024009895538256387,-0.004913906620714028,0.000775092217078961
2880,63.41301977,10.40341649,-555.7485762065411,45.1037132541439,0.024338863173852587,-0.004992144980707795,0.0004051735493151729
2917,63.41287069,10.40259784,-572.3665682442405,4.2075907292582,0.02564886731192928,-0.00514142008296125,3.779743056260524e-05
2961,63.41273985,10.4017988,-586.9508688151398,-35.70929446239452,0.027070860750512793,-0.005272427063472326,-0.00032078204956971577
